nda,abcd,instrument
tfmri_mr2_aslvn_bcdk_loroflh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_lateralorbitofrontal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_lglh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_lingual.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_moroflh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_medialorbitofrontal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_mdtplh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_middletemporal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_phpallh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parahippocampal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_paraclh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_paracentral.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_poprclh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parsopercularis.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_poblh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parsorbitalis.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_parstrglh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parstriangularis.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pcnlh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_pericalcarine.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_postclh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_postcentral.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pocglh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_posteriorcingulate.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_preclh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_precentral.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pclh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_precuneus.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_rancglh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_rostralanteriorcingulate.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_rmdflh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_rostralmiddlefrontal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_suflh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiorfrontal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_spalh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiorparietal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_sutplh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiortemporal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_smlh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_supramarginal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_fpolelh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_frontalpole.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_tppolelh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_temporalpole.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_trvtplh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_transversetemporal.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_inalh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_insula.lh,midr2bwp201
tfmri_mr2_aslvn_bcdk_bktsrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_bankssts.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_clancgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_caudalanteriorcingulate.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_clmdfrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_caudalmiddlefrontal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_ecurh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_cuneus.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_ehinalrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_entorhinal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_ffrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_fusiform.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_ifparh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_inferiorparietal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_iftprh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_inferiortemporal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_ihcgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_isthmuscingulate.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_loccrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_lateraloccipital.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_lorofrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_lateralorbitofrontal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_lgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_lingual.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_morofrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_medialorbitofrontal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_mdtprh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_middletemporal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_phpalrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parahippocampal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_paracrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_paracentral.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_poprcrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parsopercularis.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pobrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parsorbitalis.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_parstrgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_parstriangularis.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pcnrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_pericalcarine.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_postcrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_postcentral.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pocgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_posteriorcingulate.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_precrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_precentral.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_pcrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_precuneus.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_rancgrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_rostralanteriorcingulate.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_rmdfrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_rostralmiddlefrontal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_sufrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiorfrontal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_sparh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiorparietal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_sutprh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_superiortemporal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_smrh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_supramarginal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_fpolerh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_frontalpole.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_tppolerh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_temporalpole.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_trvtprh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_transversetemporal.rh,midr2bwp201
tfmri_mr2_aslvn_bcdk_inarh,tfmri_mid_run2_antic.small.loss.vs.neutral_beta_cort.desikan_insula.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_bktslh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_bankssts.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_clancglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_caudalanteriorcingulate.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_clmdflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_caudalmiddlefrontal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_eculh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_cuneus.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ehinallh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_entorhinal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_fflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_fusiform.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ifpalh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_inferiorparietal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_iftplh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_inferiortemporal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ihcglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_isthmuscingulate.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_locclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lateraloccipital.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_loroflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lateralorbitofrontal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_lglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lingual.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_moroflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_medialorbitofrontal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_mdtplh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_middletemporal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_phpallh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parahippocampal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_paraclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_paracentral.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_poprclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parsopercularis.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_poblh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parsorbitalis.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_parstrglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parstriangularis.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pcnlh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_pericalcarine.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_postclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_postcentral.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pocglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_posteriorcingulate.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_preclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_precentral.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pclh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_precuneus.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_rancglh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_rostralanteriorcingulate.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_rmdflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_rostralmiddlefrontal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_suflh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiorfrontal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_spalh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiorparietal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_sutplh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiortemporal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_smlh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_supramarginal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_fpolelh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_frontalpole.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_tppolelh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_temporalpole.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_trvtplh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_transversetemporal.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_inalh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_insula.lh,midr2bwp201
tfmri_mr2_alvsl_bcdk_bktsrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_bankssts.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_clancgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_caudalanteriorcingulate.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_clmdfrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_caudalmiddlefrontal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ecurh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_cuneus.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ehinalrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_entorhinal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ffrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_fusiform.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ifparh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_inferiorparietal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_iftprh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_inferiortemporal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_ihcgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_isthmuscingulate.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_loccrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lateraloccipital.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_lorofrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lateralorbitofrontal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_lgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_lingual.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_morofrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_medialorbitofrontal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_mdtprh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_middletemporal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_phpalrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parahippocampal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_paracrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_paracentral.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_poprcrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parsopercularis.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pobrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parsorbitalis.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_parstrgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_parstriangularis.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pcnrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_pericalcarine.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_postcrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_postcentral.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pocgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_posteriorcingulate.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_precrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_precentral.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_pcrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_precuneus.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_rancgrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_rostralanteriorcingulate.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_rmdfrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_rostralmiddlefrontal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_sufrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiorfrontal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_sparh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiorparietal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_sutprh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_superiortemporal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_smrh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_supramarginal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_fpolerh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_frontalpole.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_tppolerh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_temporalpole.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_trvtprh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_transversetemporal.rh,midr2bwp201
tfmri_mr2_alvsl_bcdk_inarh,tfmri_mid_run2_antic.large.vs.small.loss_beta_cort.desikan_insula.rh,midr2bwp201
tfmri_mid_all_sem_visitid,tfmri_mid_all_sem_visitid,abcd_midasemp101
tfmri_mid_all_sem_tr,tfmri_mid_all_sem_tr,abcd_midasemp101
tfmri_mid_all_sem_numtrs,tfmri_mid_all_sem_numtrs,abcd_midasemp101
tfmri_mid_all_sem_dof,tfmri_mid_all_sem_dof,abcd_midasemp101
tfmri_mid_all_sem_nvols,tfmri_mid_all_sem_nvols,abcd_midasemp101
tfmri_mid_all_sem_stnvols,tfmri_mid_all_sem_subthresh.nvols,abcd_midasemp101
tfmri_mid_all_sem_meanmotion,tfmri_mid_all_sem_mean.motion,abcd_midasemp101
tfmri_mid_all_sem_maxmotion,tfmri_mid_all_sem_max.motion,abcd_midasemp101
tfmri_mid_all_sem_meantrans,tfmri_mid_all_sem_mean.trans,abcd_midasemp101
tfmri_mid_all_sem_maxtrans,tfmri_mid_all_sem_max.trans,abcd_midasemp101
tfmri_mid_all_sem_meanrot,tfmri_mid_all_sem_mean.rot,abcd_midasemp101
tfmri_mid_all_sem_maxrot,tfmri_mid_all_sem_max.rot,abcd_midasemp101
tfmri_ma_arvn_smscs_cbwmlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebral.white.matter.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_lcelh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_lateral.ventricle.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_inflatvlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_inf.lat.vent.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_crbwmlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.white.matter.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_crbcxlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.cortex.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_tplh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_thalamus.proper.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_celh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_caudate.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_ptlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_putamen.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_pdlh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_pallidum.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_3rdvicle,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_3rd.ventricle,abcd_midasemp101
tfmri_ma_arvn_smscs_4thvicle,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_4th.ventricle,abcd_midasemp101
tfmri_ma_arvn_smscs_bs,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_brain.stem,abcd_midasemp101
tfmri_ma_arvn_smscs_hpuslh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_hippocampus.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_aylh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_amygdala.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_csf,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_csf,abcd_midasemp101
tfmri_ma_arvn_smscs_aalh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_accumbens.area.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_valdclh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_ventraldc.lh,abcd_midasemp101
tfmri_ma_arvn_smscs_cbwmrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebral.white.matter.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_lcerh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_lateral.ventricle.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_inflatvh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_inf.lat.vent.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_crbwmrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.white.matter.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_crbcxrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.cortex.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_tprh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_thalamus.proper.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_cerh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_caudate.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_ptrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_putamen.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_pdrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_pallidum.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_hpusrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_hippocampus.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_ayrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_amygdala.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_aarh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_accumbens.area.rh,abcd_midasemp101
tfmri_ma_arvn_smscs_valdcrh,tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_ventraldc.rh,abcd_midasemp101
tfmri_ma_alvn_smscs_cbwmlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_cerebral.white.matter.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_lcelh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_lateral.ventricle.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_inflatvlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_inf.lat.vent.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_crbwmlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_cerebellum.white.matter.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_crbcxlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_cerebellum.cortex.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_tplh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_thalamus.proper.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_celh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_caudate.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_ptlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_putamen.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_pdlh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_pallidum.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_3rdvicle,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_3rd.ventricle,abcd_midasemp101
tfmri_ma_alvn_smscs_4thvicle,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_4th.ventricle,abcd_midasemp101
tfmri_ma_alvn_smscs_bs,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_brain.stem,abcd_midasemp101
tfmri_ma_alvn_smscs_hpuslh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_hippocampus.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_aylh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_amygdala.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_csf,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_csf,abcd_midasemp101
tfmri_ma_alvn_smscs_aalh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_accumbens.area.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_valdclh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_ventraldc.lh,abcd_midasemp101
tfmri_ma_alvn_smscs_cbwmrh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_cerebral.white.matter.rh,abcd_midasemp101
tfmri_ma_alvn_smscs_lcerh,tfmri_mid_all_antic.loss.vs.neutral_sem_subcort.aseg_lateral.ventricle.rh,abcd_midasemp101
